chinese,thai_meaning,category,hsk_level
歌声,"เสียงเพลง, การร้องเพลง",,hsk3
歌手,นักร้อง,,hsk3
歌迷,แฟนเพลง,,hsk3
步,"ก้าว, ขั้น",,hsk3
死,"ตาย, เสียชีวิต",,hsk3
民间,"พื้นบ้าน, ชาวบ้าน, ชุมชน",,hsk3
沙子,ทราย,,hsk3
没用,"ไร้ประโยชน์, ไม่จำเป็น",,hsk3
活,"มีชีวิต, การดำรงชีวิต, การเคลื่อนไหว",,hsk3
派,"ส่ง, จัดส่ง, กลุ่ม, ฝ่าย",,hsk3
浪费,"สิ้นเปลือง, เสียเปล่า",,hsk3
深入,"ลึกซึ้ง, เจาะลึก",,hsk3
深刻,"ลึกซึ้ง, สำคัญ, เข้มข้น",,hsk3
游,"เที่ยว, เดินทาง, ล่องเรือ",,hsk3
游戏,"เกม, การละเล่น",,hsk3
演,"แสดง, เล่น, แสดงละคร",,hsk3
演唱,"ร้องเพลง, แสดงคอนเสิร์ต",,hsk3
演唱会,คอนเสิร์ต,,hsk3
火,"ไฟ, ร้อน, เป็นที่นิยม",,hsk3
烟,"ควัน, หมอก",,hsk3
热烈,"ร้อนแรง, กระตือรือร้น, อบอุ่น",,hsk3
热爱,"รัก, ชื่นชอบอย่างมาก",,hsk3
照,"ส่องแสง, ถ่ายรูป, ตรงกันข้าม",,hsk3
熟人,คนรู้จัก,,hsk3
爱心,"ความรัก, ความเมตตา",,hsk3
状态,"สถานะ, สภาพ",,hsk3
环,"วงแหวน, ขอบ, ล้อมรอบ",,hsk3
环保,การรักษาสิ่งแวดล้อม,,hsk3
现代化,"ความทันสมัย, การทำให้ทันสมัย",,hsk3
球迷,"แฟนบอล, แฟนกีฬา",,hsk3
甜,หวาน,,hsk3
生命,"ชีวิต, การดำรงอยู่",,hsk3
生存,"การอยู่รอด, การดำรงอยู่",,hsk3
生长,"การเจริญเติบโต, การงอก",,hsk3
由,"จาก, โดย, เนื่องมาจาก",,hsk3
电台,สถานีวิทยุ,,hsk3
电子,"อิเล็กทรอนิกส์, ไฟฟ้า",,hsk3
电视台,สถานีโทรทัศน์,,hsk3
男子,"ผู้ชาย, เพศชาย",,hsk3
痛,"เจ็บ, ปวด",,hsk3
痛苦,"ความเจ็บปวด, ความทุกข์ทรมาน",,hsk3
皮,"หนัง, หนังฟอก, ผิวหนัง",,hsk3
皮包,กระเป๋าหนัง,,hsk3
目标,"เป้าหมาย, จุดมุ่งหมาย",,hsk3
直,"ตรง, โดยตรง, ตั้งตรง",,hsk3
直到,"จนกระทั่ง, จนถึง",,hsk3
相互,"ซึ่งกันและกัน, ร่วมกัน",,hsk3
相似,"คล้ายคลึงกัน, เหมือนกัน",,hsk3
相关,"เกี่ยวข้อง, สัมพันธ์กัน",,hsk3
相比,"เมื่อเทียบกับ, เปรียบเทียบกับ",,hsk3
看上去,"ดูเหมือนว่า, มองดูแล้ว",,hsk3
真实,"จริง, แท้จริง",,hsk3
眼前,"ตรงหน้า, เบื้องหน้า, ในปัจจุบัน",,hsk3
短期,ระยะสั้น,,hsk3
石头,"หิน, ศิลา",,hsk3
石油,"ปิโตรเลียม, น้ำมัน",,hsk3
破,"แตก, หัก, ทลาย, ทำลาย",,hsk3
确保,"รับประกัน, ทำให้แน่ใจ",,hsk3
祝,"อวยพร, ขอให้",,hsk3
票价,ราคาตั๋ว,,hsk3
福,"ความสุข, โชคลาภ, พร",,hsk3
离婚,หย่าร้าง,,hsk3
秋,ฤดูใบไม้ร่วง,,hsk3
种,"ปลูก, ประเภท, ชนิด",,hsk3
种子,"เมล็ด, เชื้อ",,hsk3
积极性,"ความกระตือรือร้น, ความคิดริเริ่ม",,hsk3
称为,"เรียกว่า, ถูกเรียกว่า",,hsk3
空,"ว่าง, ว่างเปล่า, ท้องฟ้า",,hsk3
空儿,"เวลาว่าง, โอกาส",,hsk3
突出,"โดดเด่น, สะดุดตา, เน้น",,hsk3
立刻,"ทันที, ในทันที",,hsk3
等待,"รอ, คอย",,hsk3
管,"ท่อ, ท่อส่ง, ดูแล, จัดการ",,hsk3
管理,"การจัดการ, การบริหาร",,hsk3
类,"ประเภท, ชนิด, หมวดหมู่",,hsk3
类似,"คล้ายคลึง, คล้าย",,hsk3
紧急,"ฉุกเฉิน, เร่งด่วน",,hsk3
红酒,ไวน์แดง,,hsk3
约,"นัด, นัดหมาย, ประมาณ",,hsk3
纪录,"บันทึก, สถิติ",,hsk3
组合,"การรวมกัน, การจัดกลุ่ม",,hsk3
结合,"การรวม, การเชื่อมต่อ, การผสมผสาน",,hsk3
结实,"แข็งแรง, ทนทาน",,hsk3
绝对,"แน่นอน, เด็ดขาด, อย่างแท้จริง",,hsk3
缺,"ขาด, ขาดแคลน",,hsk3
缺少,"ขาด, ขาดแคลน",,hsk3
美好,"ดี, สวยงาม, งดงาม",,hsk3
群,"กลุ่ม, ฝูง, หมู่",,hsk3
老太太,หญิงชรา,,hsk3
老头儿,ชายชรา,,hsk3
老百姓,"ประชาชนทั่วไป, ชาวบ้าน",,hsk3
考验,"การทดสอบ, การพิสูจน์",,hsk3
者,"ผู้ที่..., ผู้กระทำ...",,hsk3
职工,"พนักงาน, ลูกจ้าง",,hsk3
联合,"ร่วมมือ, สห, รวมกัน",,hsk3
联合国,สหประชาชาติ,,hsk3
背后,"ข้างหลัง, เบื้องหลัง",,hsk3
胖,"อ้วน, ท้วม",,hsk3
胜,"ชนะ, ได้เปรียบ",,hsk3
能不能,"ได้หรือไม่, สามารถหรือไม่",,hsk3
自主,"อิสระ, พึ่งพาตนเอง",,hsk3
自从,"ตั้งแต่, นับตั้งแต่",,hsk3
自动,"อัตโนมัติ, โดยอัตโนมัติ",,hsk3
自觉,"โดยสมัครใจ, โดยรู้ตัว",,hsk3
自身,"ตนเอง, ตัวเอง",,hsk3
至今,"จนถึงปัจจุบัน, จนถึงวันนี้",,hsk3
至少,"อย่างน้อย, ขั้นต่ำสุด",,hsk3
舞台,"เวที, ฉาก",,hsk3
节约,"ประหยัด, ออม",,hsk3
营养,"โภชนาการ, สารอาหาร",,hsk3
血,เลือด,,hsk3
补,"เสริม, บำรุง",,hsk3
补充,"เสริม, เพิ่มเติม",,hsk3
表明,"แสดงให้เห็น, บ่งชี้",,hsk3
表面,"พื้นผิว, ด้านนอก",,hsk3
被,ถูก (ใช้ในประโยคกรรมวาจก),,hsk3
西部,"ภาคตะวันตก, ด้านตะวันตก",,hsk3
观看,"ชม, ดู",,hsk3
规范,"มาตรฐาน, กฎเกณฑ์",,hsk3
解开,"คลี่ออก, แกะออก",,hsk3
计算,"คำนวณ, คิดเลข",,hsk3
订,"สั่งจอง, นัดหมาย",,hsk3
认出,"จำได้, รู้จัก",,hsk3
认得,"จำได้, รู้จัก",,hsk3
设立,"ก่อตั้ง, จัดตั้ง",,hsk3
证,"หลักฐาน, ใบรับรอง",,hsk3
证件,"เอกสารประจำตัว, บัตรประจำตัว",,hsk3
证明,"พิสูจน์, ยืนยัน",,hsk3
试题,"ข้อสอบ, ชุดข้อสอบ",,hsk3
试验,"ทดลอง, การทดลอง",,hsk3
话剧,"ละครเวที, ละคร",,hsk3
请教,"ขอคำปรึกษา, ปรึกษาหารือ",,hsk3
读者,ผู้อ่าน,,hsk3
调,"ปรับ, เปลี่ยน, โยกย้าย",,hsk3
调查,"สำรวจ, ตรวจสอบ",,hsk3
谈,"พูดคุย, สนทนา",,hsk3
谈话,"การสนทนา, การพูดคุย",,hsk3
责任,"ความรับผิดชอบ, หน้าที่",,hsk3
费,"ค่าใช้จ่าย, ค่าธรรมเนียม",,hsk3
赢,"ชนะ, ได้รับชัยชนะ",,hsk3
赶,"รีบ, เร่ง",,hsk3
赶到,"มาถึง, ไปถึง",,hsk3
赶快,"รีบ, โดยเร็ว",,hsk3
赶紧,"รีบ, โดยด่วน",,hsk3
超级,"สุดยอด, ซูเปอร์",,hsk3
足够,"เพียงพอ, พอเพียง",,hsk3
路线,"เส้นทาง, สาย",,hsk3
跳,"กระโดด, เต้น",,hsk3
跳远,กระโดดไกล,,hsk3
跳高,กระโดดสูง,,hsk3
身份证,บัตรประจำตัวประชาชน,,hsk3
转,"หมุน, เลี้ยว, เปลี่ยน",,hsk3
转变,"เปลี่ยนแปลง, พลิกผัน",,hsk3
较,"ค่อนข้าง, เปรียบเทียบ",,hsk3
输,"แพ้, พ่าย",,hsk3
达到,"บรรลุ, ถึง",,hsk3
迎接,"ต้อนรับ, รับ",,hsk3
近期,"เร็วๆ นี้, ช่วงนี้",,hsk3
进一步,"เพิ่มเติม, ต่อไป",,hsk3
进展,"ความคืบหน้า, การพัฒนา",,hsk3
连,"เชื่อม, ต่อ, แม้แต่",,hsk3
连续,"ต่อเนื่อง, ติดต่อกัน",,hsk3
连续剧,"ละครชุด, ซีรีส์",,hsk3
迷,"หลงใหล, คลั่งไคล้",,hsk3
追,"ไล่ตาม, ติดตาม",,hsk3
退出,"ออก, ถอนตัว",,hsk3
适用,"เหมาะสม, ใช้ได้",,hsk3
选手,"นักกีฬา, ผู้เข้าแข่งขัน",,hsk3
通信,"การสื่อสาร, โทรคมนาคม",,hsk3
通常,"โดยทั่วไป, ปกติ",,hsk3
速度,"ความเร็ว, อัตราเร็ว",,hsk3
造,"สร้าง, ทำ",,hsk3
邮箱,"ตู้จดหมาย, กล่องจดหมาย",,hsk3
部,"ส่วน, แผนก",,hsk3
部长,"รัฐมนตรี, หัวหน้าแผนก",,hsk3
配,"จับคู่, เข้ากัน, จัดหา",,hsk3
采取,"ใช้, นำมาใช้",,hsk3
采用,"นำมาใช้, รับเอา",,hsk3
里面,"ข้างใน, ด้านใน",,hsk3
重大,"สำคัญ, ใหญ่หลวง",,hsk3
金牌,เหรียญทอง,,hsk3
铁,เหล็ก,,hsk3
铁路,"ทางรถไฟ, รถไฟ",,hsk3
银牌,เหรียญเงิน,,hsk3
长处,"ข้อดี, จุดแข็ง",,hsk3
长期,"ระยะยาว, นาน",,hsk3
队员,"สมาชิกทีม, ผู้เล่น",,hsk3
防,"ป้องกัน, การป้องกัน",,hsk3
防止,"ป้องกัน, ยับยั้ง",,hsk3
随,"ตาม, พร้อมกับ",,hsk3
难度,"ความยาก, ระดับความยาก",,hsk3
难道,"หรือว่า, กระนั้นหรือ",,hsk3
集体,"กลุ่ม, คณะ",,hsk3
需求,"ความต้องการ, ความจำเป็น",,hsk3
静,"เงียบ, สงบ",,hsk3
顿,"หยุด, ชะงัก",,hsk3
预计,"คาดการณ์, ประมาณการ",,hsk3
预防,"ป้องกัน, การป้องกันล่วงหน้า",,hsk3
领,"รับ, ได้รับ",,hsk3
领先,"นำ, เป็นผู้นำ",,hsk3
风险,"ความเสี่ยง, อันตราย",,hsk3
食品,"อาหาร, ผลิตภัณฑ์อาหาร",,hsk3
香,"หอม, กลิ่นหอม",,hsk3
高速,ความเร็วสูง,,hsk3
高速公路,"ทางด่วน, มอเตอร์เวย์",,hsk3
齐,"เท่ากัน, เสมอกัน",,hsk3
龙,มังกร,,hsk3
一再,"ซ้ำแล้วซ้ำเล่า, อีกครั้ง",,hsk4
一律,"ทั้งหมด, โดยสิ้นเชิง",,hsk4
一致,"สอดคล้องกัน, เป็นเอกฉันท์",,hsk4
一般来说,"โดยทั่วไปแล้ว, โดยปกติแล้ว",,hsk4
上个月,เดือนที่แล้ว,,hsk4
上楼,ขึ้นบันได,,hsk4
上门,"ไปหา, เยี่ยมเยียน",,hsk4
下个月,เดือนหน้า,,hsk4
下楼,ลงบันได,,hsk4
下降,"ลดลง, ตกต่ำ",,hsk4
不在乎,"ไม่ใส่ใจ, ไม่แคร์",,hsk4
不要紧,"ไม่เป็นไร, ไม่สำคัญ",,hsk4
两边,"ทั้งสองข้าง, สองด้าน",,hsk4
严,"เข้มงวด, รุนแรง",,hsk4
个体,"รายบุคคล, เฉพาะตัว",,hsk4
个别,"แต่ละราย, บางส่วน",,hsk4
中介,"ตัวกลาง, นายหน้า",,hsk4
中奖,"ถูกรางวัล, ถูกลอตเตอรี่",,hsk4
主题,"หัวข้อ, ประเด็น",,hsk4
义务,"หน้าที่, ภาระ",,hsk4
之一,"หนึ่งใน, ส่วนหนึ่งของ",,hsk4
之前,"ก่อน, ก่อนหน้านี้",,hsk4
之后,"หลัง, หลังจากนี้",,hsk4
之间,"ระหว่าง, ท่ามกลาง",,hsk4
乐趣,"ความสนุกสนาน, ความสุข",,hsk4
争论,"การโต้เถียง, การถกเถียง",,hsk4
事物,"สิ่งของ, เรื่องราว",,hsk4
二手,"มือสอง, ของเก่า",,hsk4
五颜六色,"หลากสีสัน, สีสันสดใส",,hsk4
亚运会,เอเชียนเกมส์,,hsk4
产品,"ผลิตภัณฑ์, สินค้า",,hsk4
亲密,"ใกล้ชิด, สนิทสนม",,hsk4
亲爱,"ที่รัก, สุดที่รัก",,hsk4
人家,"พวกเขา, คนอื่น",,hsk4
从此,"ตั้งแต่นั้นมา, จากนี้ไป",,hsk4
代替,"แทนที่, ทดแทน",,hsk4
以内,"ภายใน, ข้างใน",,hsk4
以及,"และ, รวมถึง",,hsk4
优良,"ยอดเยี่ยม, ดีเลิศ",,hsk4
伙,"พวก, กลุ่ม",,hsk4
伙伴,"เพื่อน, สหาย, คู่หู",,hsk4
伞,ร่ม,,hsk4
伤害,"ทำร้าย, บาดเจ็บ, ความเสียหาย",,hsk4
似乎,"ดูเหมือนว่า, ราวกับว่า",,hsk4
似的,"เหมือน, ดุจ, ประหนึ่ง",,hsk4
位于,"ตั้งอยู่ที่, อยู่ใน",,hsk4
体检,ตรวจสุขภาพ,,hsk4
体重,น้ำหนักตัว,,hsk4
作为,"ในฐานะ, ในฐานะที่เป็น",,hsk4
作出,"ตัดสินใจ, ดำเนินการ, สร้าง",,hsk4
使劲,"ออกแรง, พยายามอย่างเต็มที่",,hsk4
供应,"จัดหา, จำหน่าย",,hsk4
依然,"ยังคง, เหมือนเดิม",,hsk4
促使,"กระตุ้น, ผลักดัน",,hsk4
促进,"ส่งเสริม, สนับสนุน, เร่ง",,hsk4
保密,รักษาความลับ,,hsk4
俩,"สองคน, คู่",,hsk4
倍,"เท่า, เท่าตัว, เท่าทวีคูณ",,hsk4
倒车,ถอยหลัง (รถ),,hsk4
停下,"หยุด, หยุดนิ่ง",,hsk4
充电,ชาร์จแบตเตอรี่,,hsk4
光临,"มาเยือน, ให้เกียรติมา",,hsk4
共,"ทั้งหมด, รวม",,hsk4
关闭,"ปิด, ปิดลง",,hsk4
兵,"ทหาร, นักรบ",,hsk4
其余,"ที่เหลือ, ส่วนที่เหลือ",,hsk4
具备,"มี, ครอบครอง, พร้อม",,hsk4
典型,"เป็นแบบอย่าง, เป็นตัวอย่าง, ทั่วไป",,hsk4
内部,"ภายใน, ส่วนใน",,hsk4
再三,"ซ้ำแล้วซ้ำเล่า, หลายครั้ง",,hsk4
冬季,ฤดูหนาว,,hsk4
冰,น้ำแข็ง,,hsk4
冰雪,"หิมะ, น้ำแข็งและหิมะ",,hsk4
冷静,"สงบ, เยือกเย็น, ใจเย็น",,hsk4
减少,"ลด, ลดลง",,hsk4
出售,ขาย,,hsk4
出色,"ยอดเยี่ยม, โดดเด่น, ดีเลิศ",,hsk4
分为,"แบ่งออกเป็น, จำแนกเป็น",,hsk4
分布,"กระจาย, แพร่กระจาย",,hsk4
分手,"เลิก, แยกทาง",,hsk4
分散,"กระจาย, แตกกระจาย",,hsk4
切,"ตัด, หั่น",,hsk4
划,"ขีด, ลาก, เขียน",,hsk4
列为,"จัดอยู่ในประเภท, จัดเป็น",,hsk4
列入,"รวมเข้า, บรรจุใน",,hsk4
利益,"ผลประโยชน์, กำไร",,hsk4
制订,"กำหนด, วางแผน",,hsk4
刷子,แปรง,,hsk4
刺,"แทง, ทิ่ม, กลิ่นฉุน",,hsk4
前头,"ข้างหน้า, ด้านหน้า",,hsk4
加入,"เข้าร่วม, เพิ่ม",,hsk4
加油站,ปั๊มน้ำมัน,,hsk4
动摇,"สั่นคลอน, โอนเอน",,hsk4
动画片,"การ์ตูน, แอนิเมชัน",,hsk4
勇敢,"กล้าหาญ, ห้าวหาญ",,hsk4
医疗,"การแพทย์, การรักษา",,hsk4
单,"แผ่น, ใบ, รายการ",,hsk4
单独,"เดี่ยว, โดดเดี่ยว, เพียงลำพัง",,hsk4
单纯,"บริสุทธิ์, เรียบง่าย, ตรงไปตรงมา",,hsk4
即将,"กำลังจะ, ใกล้จะ",,hsk4
却,"แต่, ทว่า, กลับ",,hsk4
卷,"ม้วน, ห่อ, ม้วนกระดาษ",,hsk4
厚,หนา,,hsk4
原则,"หลักการ, แนวคิด",,hsk4
原料,วัตถุดิบ,,hsk4
县,อำเภอ,,hsk4
反而,"กลับกัน, ตรงกันข้าม",,hsk4
受不了,"ทนไม่ไหว, รับไม่ได้",,hsk4
召开,"จัดการประชุม, จัดงาน",,hsk4
可见,"เห็นได้ชัด, ชัดเจน",,hsk4
台上,บนเวที,,hsk4
台阶,ขั้นบันได,,hsk4
吃惊,"ประหลาดใจ, ตกใจ",,hsk4
各个,"แต่ละ, ทุกๆ",,hsk4
名人,"คนดัง, ผู้มีชื่อเสียง",,hsk4
名牌儿,แบรนด์ดัง,,hsk4
后头,"ข้างหลัง, ด้านหลัง",,hsk4
含,"มี, บรรจุ, กลืน",,hsk4
含义,"ความหมาย, นัย",,hsk4
含有,"มี, บรรจุ, ประกอบด้วย",,hsk4
含量,"ปริมาณ, เนื้อหา",,hsk4
吸,"ดูด, สูด",,hsk4
吸收,"ดูดซับ, ซึมซับ",,hsk4
吸管,หลอดดูด,,hsk4
呀,อนุภาคแสดงความประหลาดใจหรือความเข้าใจ,,hsk4
味儿,"รสชาติ, กลิ่น",,hsk4
呼吸,หายใจ,,hsk4
咸,เค็ม,,hsk4
品质,คุณภาพ,,hsk4
唱片,"แผ่นเสียง, แผ่นซีดี",,hsk4
喜爱,"ชอบ, ชื่นชอบ",,hsk4
回复,"ตอบกลับ, แจ้งกลับ",,hsk4
固定,"คงที่, แน่นอน",,hsk4
图案,"ลวดลาย, รูปแบบ",,hsk4
圆,"กลม, วงกลม",,hsk4
圆满,"สมบูรณ์แบบ, เรียบร้อย, สวยงาม",,hsk4
圈,"วง, วงกลม",,hsk4
土地,"ที่ดิน, พื้นดิน",,hsk4
在乎,"ใส่ใจ, สนใจ",,hsk4
在于,"อยู่ที่, ขึ้นอยู่กับ",,hsk4
地下,ใต้ดิน,,hsk4
地面,"พื้นดิน, พื้นผิว",,hsk4
坚固,"แข็งแรง, มั่นคง",,hsk4
型,"แบบ, ประเภท",,hsk4
型号,"รุ่น, แบบ",,hsk4
培育,"เพาะปลูก, เลี้ยงดู, ฝึกฝน",,hsk4
培训班,คอร์สฝึกอบรม,,hsk4
堵,"อุด, ปิดกั้น, จราจรติดขัด",,hsk4
塑料,พลาสติก,,hsk4
填,"เติม, กรอก",,hsk4
填空,"เติมคำ, กรอกข้อความ",,hsk4
处,"ที่, จุด, สถานที่",,hsk4
处于,"อยู่ใน, ดำรงอยู่ใน",,hsk4
复制,"คัดลอก, ทำซ้ำ",,hsk4
夏季,ฤดูร้อน,,hsk4
外交官,นักการทูต,,hsk4
外汇,เงินตราต่างประเทศ,,hsk4
多年,หลายปี,,hsk4
多样,"หลากหลาย, นานา",,hsk4
多次,"หลายครั้ง, ซ้ำๆ",,hsk4
多种,"หลายชนิด, หลากหลาย",,hsk4
大会,การประชุมใหญ่,,hsk4
大哥,พี่ชายคนโต,,hsk4
大多,"ส่วนใหญ่, โดยมาก",,hsk4
大妈,ป้า (พี่สาวของพ่อหรือแม่),,hsk4
大姐,พี่สาวคนโต,,hsk4
大巴,รถบัสขนาดใหญ่,,hsk4
大楼,อาคารขนาดใหญ่,,hsk4
大爷,"คุณตา, คุณปู่, ลุง (เรียกผู้ชายสูงอายุ)",,hsk4
大规模,"ขนาดใหญ่, กว้างขวาง",,hsk4
大陆,"แผ่นดินใหญ่, ทวีป",,hsk4
天真,"ไร้เดียงสา, ซื่อตรง",,hsk4
夫人,"ภรรยา, สุภาพสตรี",,hsk4
夫妇,คู่สามีภรรยา,,hsk4
失业,ว่างงาน,,hsk4
奋斗,"ต่อสู้, ฟันฝ่า",,hsk4
奖,"รางวัล, เหรียญรางวัล",,hsk4
奖金,เงินรางวัล,,hsk4
套餐,"แพ็กเกจ, ชุด",,hsk4
好友,เพื่อนสนิท,,hsk4
婚礼,งานแต่งงาน,,hsk4
字母,"ตัวอักษร, ตัวอักษร",,hsk4
孙女,หลานสาว,,hsk4
孙子,หลานชาย,,hsk4
季,ฤดูกาล,,hsk4
季度,"ไตรมาส, ช่วงเวลา (ของปี)",,hsk4
学分,หน่วยกิต,,hsk4
学年,ปีการศึกษา,,hsk4
学时,ชั่วโมงเรียน,,hsk4
学术,วิชาการ,,hsk4
学问,"ความรู้, วิชาความรู้",,hsk4
宁静,"เงียบสงบ, สงบเงียบ, สันโดษ",,hsk4
守,"รักษา, ดูแล, เฝ้า, อยู่",,hsk4
安,"สงบ, ปลอดภัย, สบาย, อยู่",,hsk4
安置,"จัดวาง, จัดการ, จัดหาที่พัก",,hsk4
官,"ข้าราชการ, เจ้าหน้าที่, หน่วยงานราชการ",,hsk4
官方,"ทางการ, ของรัฐ, อย่างเป็นทางการ",,hsk4
定,"กำหนด, ตั้ง, แน่นอน, สงบ",,hsk4
宝,"สมบัติ, ล้ำค่า, ที่รัก",,hsk4
宝宝,"ทารก, เด็กน้อย, ลูกรัก",,hsk4
宝石,"อัญมณี, เพชรพลอย",,hsk4
家务,งานบ้าน,,hsk4
宽广,"กว้างขวาง, กว้างใหญ่",,hsk4
密,"หนาแน่น, ละเอียด, ใกล้ชิด",,hsk4
密切,"ใกล้ชิด, สนิทสนม, สำคัญ",,hsk4
寒冷,"หนาวเย็น, เย็นยะเยือก",,hsk4
对于,"เกี่ยวกับ, สำหรับ, ในเรื่องของ",,hsk4
对付,"รับมือ, จัดการ, ต่อกร",,hsk4
导致,"นำไปสู่, ก่อให้เกิด, ส่งผลให้",,hsk4
封闭,"ปิด, ปิดล้อม, ปิดตาย",,hsk4
小伙子,"หนุ่มน้อย, เด็กหนุ่ม",,hsk4
小型,"ขนาดเล็ก, เล็ก",,hsk4
尺,"ไม้บรรทัด, มาตราส่วน, หน่วยวัด",,hsk4
尺寸,"ขนาด, มิติ, ไซส์",,hsk4
局,"สถานการณ์, กรณี, การแข่งขัน",,hsk4
巨大,"ใหญ่โต, มหึมา, ยิ่งใหญ่",,hsk4
巴士,"รถบัส, รถเมล์",,hsk4
市区,"เขตเมือง, ใจกลางเมือง",,hsk4
帅,"หล่อ, เท่, สง่างาม",,hsk4
帅哥,"หนุ่มหล่อ, คนหล่อ",,hsk4
常识,"ความรู้ทั่วไป, สามัญสำนึก",,hsk4
平稳,"ราบรื่น, มั่นคง, สม่ำเสมอ",,hsk4
平静,"สงบ, นิ่ง, เงียบ",,hsk4
应,"ควร, ควรจะ, ตอบสนอง",,hsk4
底,"ก้น, ล่างสุด, ท้ายสุด, พื้นฐาน",,hsk4
度过,"ผ่านไป, ใช้เวลา, ใช้ชีวิต",,hsk4
延期,"เลื่อน, ยืดเวลา",,hsk4
延续,"ต่อเนื่อง, ดำเนินต่อไป, ยืดเยื้อ",,hsk4
开水,"น้ำเดือด, น้ำต้ม",,hsk4
开花,"ออกดอก, บาน",,hsk4
引,"ดึง, นำ, จูง",,hsk4
引导,"นำ, ชี้แนะ, แนะนำ",,hsk4
引进,"นำเข้า, แนะนำ",,hsk4
弯,"โค้ง, งอ, เลี้ยว",,hsk4
弱,"อ่อนแอ, เบาบาง, จาง",,hsk4
归,"กลับ, คืนสู่, เป็นของ",,hsk4
形势,"สถานการณ์, สภาพการณ์",,hsk4
影子,"เงา, ร่มเงา",,hsk4
微笑,"ยิ้ม, รอยยิ้ม",,hsk4
心理,"จิตใจ, จิตวิทยา",,hsk4
快递,"ส่งด่วน, บริการส่งด่วน",,hsk4
怀念,"คิดถึง, รำลึกถึง",,hsk4
怀疑,"สงสัย, กังขา",,hsk4
性质,"ธรรมชาติ, คุณสมบัติ, ลักษณะ",,hsk4
怪,"แปลก, ประหลาด, น่าสงสัย",,hsk4
总之,"สรุปแล้ว, โดยรวมแล้ว",,hsk4
总共,"ทั้งหมด, รวมทั้งหมด",,hsk4
总理,"นายกรัฐมนตรี, หัวหน้ารัฐบาล",,hsk4
恶心,"คลื่นไส้, น่ารังเกียจ, ขยะแขยง",,hsk4
想象,"จินตนาการ, นึกภาพ",,hsk4
成人,ผู้ใหญ่,,hsk4
或许,"อาจจะ, บางที",,hsk4
战争,สงคราม,,hsk4
战士,"นักรบ, ทหาร",,hsk4
战斗,"การต่อสู้, การรบ",,hsk4
战胜,"เอาชนะ, พิชิต",,hsk4
戴,"สวมใส่, ใส่ (เครื่องประดับ, แว่นตา)",,hsk4
户,"ประตู, ทางเข้า, ครัวเรือน",,hsk4
手工,"งานฝีมือ, ทำด้วยมือ",,hsk4
手里,"ในมือ, อยู่ในมือ",,hsk4
打败,"เอาชนะ, ปราบ",,hsk4
打雷,"ฟ้าร้อง, ฟ้าผ่า",,hsk4
扩展,"ขยาย, แผ่ขยาย",,hsk4
扫,"กวาด, ปัด",,hsk4
批,"ชุด, กลุ่ม, ล็อต, หน้า (หนังสือ)",,hsk4
承担,"แบกรับ, รับผิดชอบ",,hsk4
抄,"คัดลอก, ลอกเลียนแบบ",,hsk4
抓紧,"รีบ, คว้าไว้, ฉวยโอกาส",,hsk4
投,"โยน, ทุ่ม, ลงทุน",,hsk4
投入,"ลงทุน, ทุ่มเท, ใส่ใจ",,hsk4
投诉,"ร้องเรียน, ฟ้องร้อง",,hsk4
折,"หัก, พับ, ฉีก",,hsk4
抱,"กอด, โอบ, อุ้ม",,hsk4
抽,"สูบ, ดึง, ชัก",,hsk4
抽奖,"จับฉลาก, ลุ้นรางวัล",,hsk4
抽烟,สูบบุหรี่,,hsk4
担任,"ดำรงตำแหน่ง, รับหน้าที่",,hsk4
担保,"รับประกัน, ค้ำประกัน",,hsk4
拉开,"ดึงออก, เปิดออก",,hsk4
招呼,"ทักทาย, เรียก",,hsk4
括号,วงเล็บ,,hsk4
指挥,"สั่งการ, บัญชาการ, ควบคุม",,hsk4
挑,"เลือก, หยิบ, เขี่ย",,hsk4
挑战,"ท้าทาย, การท้าทาย",,hsk4
挑选,"เลือกสรร, คัดเลือก",,hsk4
排列,"จัดเรียง, จัดแถว",,hsk4
推销,"ขาย, ส่งเสริมการขาย",,hsk4
描写,"วาด, เขียน, บรรยาย",,hsk4
描述,"บรรยาย, อธิบาย",,hsk4
提醒,"เตือน, แจ้งเตือน",,hsk4
摆,"วาง, จัดวาง, ตั้ง",,hsk4
摆动,"แกว่ง, โยก",,hsk4
摆脱,"หลุดพ้น, หนีให้พ้น",,hsk4
摇,"เขย่า, โยก",,hsk4
摸,"สัมผัส, คลำ, ลูบ",,hsk4
操作,"ปฏิบัติการ, ดำเนินการ",,hsk4
擦,"เช็ด, ถู, ปัด",,hsk4
收回,"เรียกคืน, นำกลับมา",,hsk4
收益,"รายได้, ผลกำไร",,hsk4
改正,"แก้ไข, แก้ไขให้ถูกต้อง",,hsk4
放暑假,หยุดพักฤดูร้อน,,hsk4
放松,"ผ่อนคลาย, พักผ่อน",,hsk4
教训,"บทเรียน, การสั่งสอน",,hsk4
散,"กระจาย, แพร่, สลาย",,hsk4
数码,"ดิจิทัล, ตัวเลข",,hsk4
新型,"รูปแบบใหม่, รุ่นใหม่",,hsk4
新郎,เจ้าบ่าว,,hsk4
方,"ทิศทาง, แนวทาง, ด้าน",,hsk4
方针,"นโยบาย, หลักการ",,hsk4
无,"ไม่มี, ปราศจาก",,hsk4
无数,"นับไม่ถ้วน, มากมาย",,hsk4
